,node,y,x,ref,highway,street_count
11270,42516152,40.710939,-73.926702,,,4
11271,42516154,40.71229,-73.927304,,,4
11272,42516166,40.714995,-73.928511,,traffic_signals,3
11273,42516172,40.682421,-73.957534,,,3
11274,42516182,40.6775921,-74.006284,,,3
11275,42516187,40.679991,-74.009805,,,4
11276,42516224,40.699292,-73.941309,,,3
11277,42516233,40.6963537,-73.9407073,,,4
11278,42516238,40.6956154,-73.94056,,,4
11279,42516245,40.6934157,-73.9401209,,,4
11280,42516250,40.6926826,-73.9399746,,,4
11281,42516255,40.6919497,-73.9398284,,,4
11282,42516258,40.6912188,-73.9396825,,,4
11283,42516263,40.6890229,-73.9392442,,,4
11284,42516267,40.6875572,-73.9389524,,traffic_signals,4
11285,42516276,40.6846267,-73.9383662,,,4
11286,42516279,40.6838922,-73.9382204,,,4
11287,42516282,40.6824261,-73.9379278,,traffic_signals,4
11288,42516296,40.680416,-73.935565,,,1
11289,42516312,40.70281,-73.925389,,,4
11290,42516314,40.7071826,-73.9210554,,,4
11291,42516338,40.6108913,-73.9149969,,,1
11292,42516345,40.6103088,-73.9156907,,,3
11293,42516346,40.6101182,-73.9157922,,,1
11294,42516358,40.676745,-73.933153,,traffic_signals,4
11295,42516362,40.675969,-73.933226,,traffic_signals,4
11296,42516365,40.67519,-73.9333127,,traffic_signals,4
11297,42516366,40.674302,-73.933383,,,3
11298,42516378,40.672515,-73.933553,,traffic_signals,4
11299,42516387,40.670734,-73.933721,,traffic_signals,4
11300,42516389,40.669891,-73.933798,,,4
11301,42516395,40.6581184,-73.9339994,,traffic_signals,3
11302,42516414,40.6480018,-73.9329137,,traffic_signals,3
11303,42516418,40.644252,-73.932509,,traffic_signals,4
11304,42516422,40.64195,-73.932264,,,4
11305,42516427,40.639616,-73.932013,,traffic_signals,4
11306,42516431,40.635678,-73.931598,,,1
11307,42516451,40.632666,-73.931273,,traffic_signals,4
11308,42516456,40.63143,-73.931141,,traffic_signals,4
11309,42516460,40.630329,-73.931025,,traffic_signals,4
11310,42516463,40.627987,-73.930772,,traffic_signals,4
11311,42516470,40.625651,-73.930523,,traffic_signals,4
11312,42516475,40.624442,-73.930393,,traffic_signals,4
11313,42516480,40.623381,-73.930282,,,4
11314,42516490,40.621178,-73.930045,,,4
11315,42516492,40.61877,-73.92979,,traffic_signals,4
11316,42516499,40.616438,-73.929516,,,4
11317,42516502,40.6566155,-73.9612129,,,1
11318,42516520,40.5795746,-73.9622065,,stop,4
11319,42516533,40.6937727,-73.9631395,,,3
11320,42516550,40.6778308,-74.0061598,,,3
11321,42516555,40.6769186,-74.0028936,,traffic_signals,4
11322,42516588,40.662836,-73.917748,,stop,4
11323,42516599,40.7255302,-73.9574798,,,3
11324,42516604,40.726814,-73.953545,,,4
11325,42516607,40.727098,-73.952685,,traffic_signals,4
11326,42516610,40.727664,-73.950978,,,4
11327,42516618,40.729031,-73.94684,,,4
11328,42516624,40.729442,-73.944186,,,3
11329,42516636,40.5815396,-73.9846296,,,3
11330,42516653,40.700464,-73.947486,,traffic_signals,4
11331,42516669,40.68318,-73.911813,,,3
11332,42516672,40.682446,-73.911664,,,4
11333,42516686,40.675544,-73.911002,,traffic_signals,3
11334,42516689,40.674757,-73.911075,,traffic_signals,4
11335,42516693,40.6739907,-73.9111485,,traffic_signals,4
11336,42516695,40.673152,-73.911224,,traffic_signals,4
11337,42516713,40.664097,-73.909305,,traffic_signals,4
11338,42516721,40.657943,-73.907736,,traffic_signals,4
