,filtered_street,WEIGHT
1011,Beach 54 Street,10.0
1012,Beach 56 Place,5.0
1013,Beach 56 Street,4.0
1014,Beach 57 Street,3.0
1015,Beach 58 Street,2.0
1016,Beach 59 Street,14.0
1017,Beach 6 Street,4.0
1018,Beach 60 Street,2.0
1019,Beach 61 Street,2.0
1020,Beach 62 Street,4.0
1021,Beach 63 Street,2.0
1022,Beach 64 Street,3.0
1023,Beach 65 Street,6.0
1024,Beach 66 Street,2.0
1025,Beach 67 Street,10.0
1026,Beach 68 Street,2.0
1027,Beach 69 Street,12.0
1028,Beach 72 Street,5.0
1029,Beach 73 Street,5.0
1030,Beach 77 Street,1.0
1031,Beach 79 Street,2.0
1032,Beach 81 Street,1.0
1033,Beach 82 Street,3.0
1034,Beach 84 Street,1.0
1035,Beach 85 Street,1.0
1036,Beach 86 Street,2.0
1037,Beach 87 Street,4.0
1038,Beach 88 Street,5.0
1039,Beach 9 Street,12.0
1040,Beach 90 Street,4.0
1041,Beach 91 Street,4.0
1042,Beach 92 Street,6.0
1043,Beach 94 Street,7.0
1044,Beach 95 Street,5.0
1045,Beach 96 Street,5.0
1046,Beach 97 Street,1.0
1047,Beach 98 Street,1.0
1048,Beach 99 Street,3.0
1049,Beach Avenue,35.0
1050,Beach Channel Drive,280.0
1051,Beach Street,7.0
1052,Beacon Lane,1.0
1053,Beadel Street,3.0
1054,Beard Street,2.0
1055,Beaumont Avenue,4.0
1056,Beaumont Street,1.0
1057,Beaver Road,3.0
1058,Beaver Street,31.0
1059,Beck Street,7.0
1060,Bedell Avenue,1.0
1061,Bedell Lane,2.0
1062,Bedell Street,21.0
1063,Bedford Avenue,687.0
1064,Bedford Street,9.0
1065,Beech Avenue,8.0
1066,Beech Terrace,2.0
1067,Beechwood Place,1.0
1068,Beekman Avenue,1.0
1069,Beekman Place,2.0
1070,Beekman Street,13.0
1071,Belair Road,3.0
1072,Belfast Avenue,3.0
1073,Belknap Street,10.0
